detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,repeat,success,time_s,to,turning_rad
status 4 error 0,10.433,0.0997,delivery,0.198,10.26,0.335,11.206,NavfnAStar,16.63,3,True,25.23,B,22.89
status 4 error 0,10.128,0.0995,B,0.114,10.26,0.424,10.446,NavfnAStar,14.93,3,True,27.31,delivery,16.936
status 4 error 0,6.434,0.0646,delivery,0.046,6.3,0.45,6.711,NavfnAStar,8.92,3,True,18.41,C,10.039
status 4 error 0,6.456,0.0647,C,0.221,6.3,0.4,6.384,NavfnAStar,11.77,3,True,18.02,delivery,1.55
status 4 error 0,5.274,0.0551,delivery,0.114,5.1,0.632,5.181,NavfnAStar,6.04,3,True,15.51,charger,1.673
status 4 error 0,9.067,0.0855,charger,0.066,9.04,0.283,8.998,Smac2D,4.0,3,True,21.81,A,5.465
status 4 error 0,10.756,0.1029,A,0.155,10.01,0.461,10.61,Smac2D,4.0,3,True,27.62,delivery,6.395
status 4 error 0,10.429,0.098,delivery,0.122,10.26,0.427,10.651,Smac2D,4.0,3,True,25.21,B,4.897
status 4 error 0,10.376,0.1009,B,0.143,10.26,0.364,10.247,Smac2D,4.0,3,True,26.42,delivery,3.075
status 4 error 0,6.408,0.0661,delivery,0.112,6.3,0.45,6.351,Smac2D,5.93,3,True,19.21,C,2.083
status 4 error 0,6.438,0.0647,C,0.153,6.3,0.35,6.328,Smac2D,5.42,3,True,17.81,delivery,1.993
status 4 error 0,5.279,0.0552,delivery,0.063,5.1,0.515,5.264,Smac2D,6.58,3,True,15.81,charger,2.339
